animal,pronoun,response,age,gender
cat,she,The cat looked at the river and couldn't remember why she wanted to be there.,40s,female
pig,they,"the pig realised they had left their swimming costume at home. Thankfully it was the middle of the night and no other beings were around, except for the owl hooting in the distance. So the pig undressed and dove into the cool water.",40s,female
rabbit,she,The rabbit discovered her abandoned ship was no longer where she left it after crashing through the earths atmosphere so many seasons before.,30s,non-binary
mouse,he,thousands of other mouses were waiting him to board the ship.,50s,male
pig,it,The pig took off it pig suit and a duck emerged.,,
rabbit,he,the rabbit was dismayed to find no buyers for his bicycle among the fish aswim.,50s,
bird,they,"They swam in the river, and fished for food. ",30s,male
cat,,the cat drank some water and purred before looking at the sky and contemplating the beauty of the world.,20s,male
bear,it,"it saw a large tuna swimming near the surface. The bear's mouth watered at the sight as it crept quietly toward the edge of the water. Just as it was about to jump and catch the fish, the dream ended and the bear woke up with a start.",20s,male
cat,,The cat stared into the water again.,30s,male
dog,he,"he laid down to rest, thinking about all that life had brought him. ",30s,female
pig,,the pig saw that the water was moving very swiftly. The pig put a hoof in to see if it was dangerous.,40s,male
mouse,it,the mouse realized what it was searching for was not there.,20s,female
dog,he,he found the boy and pulled him out of the river!,30s,female
dog,he,"he surveyed the scenery, not through his eyes but by inhaling deeply and taking in the scent of everything around him. Suddenly, he had an outrageous itch on his neck -- requiring him to drop everything and aggressively scratch with his back leg. By the time he returned to reality, he thought, ""Wait, why did I come to the river again?""",30s,male
dog,,The dog ate my shoe.,,
cat,she,"the cat prepared to jump, letting the water sweep her away to somewhere else, somewhere better. ",20s,male
cat,,The cat jumped in,20s,female
dog,it,"the dog jumped into the river, and washed itself.",20s,male
cat,he,he gazed in the water and noticed a catfish gazing back at him.,20s,female
pig,she,"The pig looked up and down the river, to see if a raft was coming her way. She needed to get to the other side to go to the market to buy her auntie a  birthday gift. There was no raft but she remarked, ""I can wait""; as she settled herself in the long grass.",,
bird,,The bird drank the water.,u20,female
pig,it,the pig realized that it had been tricked. But now it was too late.,u20,female
rabbit,he,"he hopped across the river because was a very boring rabbit and also a very powerful hopper as rabbits often are. Upon landing he remarked: ""I took a wrong turn at albequoikee.",50s,male
rabbit,,The rabbit saw that the river had dried up. At the bottom of the dry riverbed was a dinosaur fossil. “It belongs in a museum!”,50s,male
cat,,there is a school of fish coming through and I'm hungry.,30s,male
pig,he,"he looked up and down the river bank, and then up at the sky. He breathed in deeply. Turning back to look at me, he exhaled and asked, ""Do you feel it?""",20s,female
rabbit,she,"the rabbit peered about, soaking in her surroundings. The river party was absolutely bumping, as expected—mostly due to the otters, who were out in full force, but only chittering to each other (classic otter behavior, thought the rabbit, ungenerously). Conspicuously missing, however, was her dear friend, the turtle.",20s,male
dog,he,"he took hold of the fishing pole he'd left wedged between some stones on the bank, and pulled in a nice sturgeon.",60+,female
cat,,"the cat frowned and said, “this was a mistake.”",30s,male
mouse,he,"the mouse collected small twigs and grasses to fashion a raft. As he put the raft in the water and was about to hop on, he heard a noise in the bushes behind him. Turning around, he saw the glinting eyes of a large rat: Gunther.",40s,female
rabbit,,"the rabbit saw the strange sight that the racoon had mentioned before. A red boat was floating in the calm waters of the river bank. It seemed to be unmanned, yet there was a blue glow emanating from the boat's cabin.",30s,male
rabbit,he,"He gets a drink and has a bath, then takes a nap in a sheltered spot on the bank.",40s,non-binary
cat,he,"He found a rowboat with a grizzled old fisherman smoking a pipe. ""Aaar, you made it,"" he called to the cat, spitting into the river. The cat pretended he couldn't hear and sauntered along the riverbank ",60+,female
dog,he,he plunged into the water and started swimming.,20s,female
mouse,he,"he studied the water, then finding the flow to be too fast, he began to find a way to cross.",30s,female
bird,,"did a quick scan of the shore, then hopped to the edge of the water for a long-needed drink of water.",60+,male
bear,it,it noticed the river was flowing with great strength. More than it should have by this time of year. Could the bear cross safely?,20s,female
dog,he,"he found that what the old man said was true. The river had run dry, leaving only the smallest trickle of sludge in the centre of the bed. The town was out of water!",30s,female
mouse,,"we saw another mouse struggling in river sinking, it squealed for help. I had to take a stick and hold it nearby it to get it out.",,
bear,it,"it caught a salmon, ate it, then nasty fucked a passing deer and went to sleep by the water.",u20,self
cat,he,The cat saw his boat and hopped in. He rowed across the river to find the mouse.,,
dog,he,"he stood looking at the opposite bank, upstream and downstream for his friends. He saw them splashing in the shallows under a bridge. He ran to the bridge and jumped off while all his friends cheered",40s,male
bear,it,"it took off its blue crocheted bucket hat, set its half eaten beehive down on a nearby tree stump and, to the dismay of the bees still following the bear, waded into the cool water to escape the heat of the summer sun.",30s,male
bear,it,the bear hurled itself into the water and grabbed a salmon in its jaws.,30s,female
bear,it,"the bear stared blankly at the river, munching again and again about the dinner it need to catch for its poor babies. They havent eaten for 3 days due to the snow storm and no small animals was at sight, the hunger hit the bear, pulled it back to the harsh ice cold water. Without hesitation, it cracked open the ice, made a hole and finding it way out for survival",20s,female
dog,,"found a salmon, and ate it.",,
bird,she,she spotted and joined with her friends. It was time for a great game of fun...and some tadpole catching.,40s,female
mouse,he,he got on his boat and ran went far away from the woman who was chasing him.,u20,female
bird,it,the bird drank the water and quenched its thirst.,50s,female
mouse,she,"The mouse realised she needed a boat. She called the swan and asked for a lift, offering some corn in exchange. The swan was an able trader and gladly accepted the transaction, taking the mouse to the opposte river so that she could finally talk to her mother. ",40s,female
pig,,"The magical pig of iron asked the smelter if he were tired. The smelter, acknowledging that he was placed the pig down and the two of them contemplated the sunlight on the water. After a while the pig urged that ‘Time being of the essence, we had probably search for a ford’ and the smelter agreeing, the two of them set off again. ",60+,male
bird,they,they started nesting on the bridge,40s,male
pig,she,she found a shady spot beneath the alders and started to bathe herself in the mud of the banks. It was so cooling and soothing after the relentless heat of the afternoon sun.,30s,female
bear,she,The bear went and danced at a party before going to her house and cooking dinner.,,
dog,,the dog jumped into the river,20s,female
bear,she,"she gravely observed the rushing water, splashing brightly against sharp rocks. Clear as the cornflower sky. Until it wasn’t, and the blood slowly washed away down the river, taking her sanity with it.",u20,female
cat,he,"the cat looked into the river and washed his paws. He waited for a few minutes before seeing some birds nearby, then hunkered down and readied himself to pounce. He would be eating soon, whether a bird or a fish.",30s,female
bear,she,"The bear caught the largest salmon she could find. She spread out her picnic blanket, but as she prepared to eat it, the salmon produced a giant golden ring from its mouth and begged the bear to spare its life. She took pity on the fish, but because she didn’t need a gold ring she saved it in case a hunter should ever catch her. ",30s,female
bear,she,"The bear dipped a paw into the river, sensing the cool water rushing by. She contemplated a bit of fishing, but decided to simply enjoy the beautiful surroundings for a bit. ",30s,female
dog,she,"the dog cautiously approached the bank. She stared down at her reflection in the slow-moving water, and a sense of peace crept over her. ""I wanted to see my mom's face one last time,"" she said, as she curled up on the shore, closed her eyes, and went to sleep for the last time.",30s,female
mouse,he,the mouse noticed the river was very fast. Whatever evidence he hoped to find there was long gone.,30s,female
rabbit,he,he put on his swimming trunks and dove into the water.,,
dog,it,The dog looked over the river. It sniffed the ground and then chased after a duck.,20s,male
pig,they,they took a bath in the river.,30s,self
rabbit,he,He had some water.,20s,male
cat,it,"the cat hesitantly touched the water. The cat found that the water was way too cold, so it didn't go for a swim. But it was glad it finally saw the river.",40s,male
mouse,she,"she cautiously looked around to make sure it was safe, then took a sip from the water. Unfortunately, she didn't notice a cat hiding in the tall grass, who pounced at her. She quickly ran away and barely made it back through the little hole in the wall she came from.",20s,male
cat,,"the cat noticed a boat drawn up on the bank along with a chicken, some grain, and a fox. A farmer stood alongside looking worried, and turned to the cat to ask “I’ve got to get this fox, chicken and grain across the river in this boat…”.",40s,female
bird,it,it took a bath in a puddle nearby,,
bear,she,"the bear was surprised to see her cubs playing in the water. She roared to get their attention as she feared hunters were near. Hearing their mother, the cubs quickly lumbered to their mother’s side, but not before taking a few swipes of the fish swimming upstream. ",30s,female
pig,he,"He felt the water with its pawn, but it was too cold, so it decided to stay in the shore.",30s,male
bird,she,"she watched as the water danced across the stones that had settled beneath the rapids. The sun cast her glorious reflection onto the water's surface, causing each ripple to glisten anew. And so the bird let her feathers rest for a while, listening to the sounds of nature she did not have to make herself.",20s,female
dog,he,He decide to find a big stick,30s,male
bird,it,It was shocked to see a dry river bed and what was once it's home was no more,,
cat,,the cat drank water.,20s,male
bird,it,The bird flew to a tree branch over the river and added its song to the river’s music.,,
rabbit,they,"the rabbit began to recite a prayer to the God of the river. A quiet, but commanding voice interjected, “It is not your time, little rabbit.” The rabbit halted their prayer, frozen in contemplation, before gently hopping away, more confident in what they had to do next.",30s,male
cat,she,the cat stuck her head in the water and breathed a long sigh of relief.,,
pig,he,"he walked up to the edge of the water and drank from the river. Afterwards, he jumped in for a swim.",20s,female
cat,,the river bed was empty.,20s,female
cat,it,"it's reflection, viewed from a rock, was startling.",60+,female
dog,it,"The dog scanned the river for danger. Finding none, it began to drink heavily from the stream. But the water was enchanted, and the dog lost all ability to speak forever more. ",30s,male
bird,,drank from it.,u20,self
mouse,she,"She looked to the left, she looked to the right, and she jumped in for a swim. ",50s,female
dog,they,They jumped into the water and swam joyously in the sun.,30s,female
cat,he,"He spread out his beach towel on a warm rock, laid back, and took a slurp of his lemonade. ",,
mouse,they,"The Mouse sat down on the river bank and waited, because they had no way to get across yet. Across the river was a block of cheese in a neat cardboard box. The mouse had ordered it off of Amazon Prime.",u20,self
pig,it,"it paced by the riverbanks, as if afraid to face its own reflection in the eddying water. Finally: it launched. ",20s,female
pig,it,it drank out of the river.,30s,female
pig,he,he tried to assess the situation: can he travel through it?,30s,female
dog,,I will bury the bone.,30s,female
dog,he,"the dog, named Indiana Bones, began his search for the ancient artifact known as the “Lost Bark”. Legend has it that there is a tomb with a femur encased in gold from an Egyptian pharaoh buried deep under the bank of the Nile river, to deter grave robbers. Indiana was the ideal candidate for this digging job as the premier archeologist of his time, securing the artifact in just under two hours.",20s,male
rabbit,it,"it looked around to make sure it was safe to take a drink of water. When it was convinced that it's surroundings were okay, it took a sip.",30s,male
pig,,the pig saw a goat and an apple.,u20,female
pig,,"A large white bird was waiting to greet the pig, who bowed low and long. Overwhelmed and in awe, the pig was rendered speechless until the bird said, “Hello matey”.",,
bear,she,she jumped right in and basked in the gorgeous grandness of it all. A small salmon flowed by and she picked it up like it was delivered to her by a greater force of nature. She was home.,20s,female
bear,she,"she looked left, then right, and then left again. Seeing that the river was clear, she jumped in. ""Phew, cool feels good"" she said, with great relief.",40s,male
dog,he,"the dog sniffed around the banks, looking for a scent trail, but couldn't find anything. Not wanting to give up, he jumped into the rapid water and swam towards the other side",20s,female
bird,,the bird enjoyed a delicious meal containing as one and only ingredient leftovers from the yearly grizzly salmon binge orgy.,40s,male
cat,they,"the cat met up with their other cats buddies and they had a nice time picnicking by the river. There was plenty of sunbathing and even a few unsuccessful attempts at fishing! All in all, a great caturday.",30s,male
rabbit,he,He died happy,,
dog,it,"it gazed upon sky, nodded it's head and ran off",na,male
rabbit,it,it nibbled grass on the bank,50s,
mouse,he,The mouse weaved its way through the tall grass toward the bank of the river. He crouched down to take a long cool drink of water before returning home.,20s,female
rabbit,he,The rabbit drank from the river before he had a swim.,30s,male
dog,he,"he sniffed the air, looked up the river and then down the river. What he was seeking was not there, yet. He lay down on the bank and waited.",40s,na
mouse,,The mouse ate the cheese and felt famished.,u20,female
pig,he,"he jumped into the cool water to wash the stinking mud off. Once clean, Stu made his way to the shore and wrapped himself in a warm, fluffy towel. And that's how 'Pigs in a Blanket' were born.",,
dog,he,"He stopped and looked to see where the cries for help were coming from. When he heard them again, he jumped in and quickly jumped into the water and swam to the child. ",40s,female
pig,it,"for a moment it felt like a bad idea. It thought ""what the heck I am here for""? But then he looked around and found no other farm animal was there, and the unfamiliarity of the place was starting to grow on it.

",20s,male
pig,,"the pig found a dug-up hole. In it was a small box containing a map. The pig followed the directions shown and found a large field with many other pigs, a lot of food, and a giant muddy lake.",u20,male
bear,she,"she saw that the fish she was hoping to catch to fill her belly were gone. Not a usual sign of their presence: a ripple, a bubble, a glint of scales could be found. If the bear could read, she would have known what that other troublesome species had done to her meal: the sign read, “River closed due to contamination.” Fracking kills. ",60+,female
pig,,"the pig sat down and pondered; this was, after all, the pig's favorite thinking spot. 
""So... if it is a pig's shoulder, why is it called a 'Boston Butt?"" the pig thought silently.",30s,male
rabbit,he,"he said, “Hello, I must be going.”",60+,female
rabbit,,"Jump into the water, and go with the flow. ",50s,male
mouse,he,"he found a small log, perfect for his size, to jump onto and float down the stream. The water was moving rapidly and splashing everywhere from the rain pouring down, so he held on as tightly as he could - he needed to find them before it was too late. Suddenly, lightning struck a limb with its branches protruding into the water that was hanging just above the river.",20s,female
bear,she,she snoothly swiped a salmon and savored a salty snack,50s,male
pig,she,She drank from the water to quench her thirst. Then she shed her pig skin and turned into a beautiful woman.,50s,female
bear,she,"She jumped in the river and made such a splash that the squirrels on the edge ran away. The acorns that the squirrels were searching for went undiscovered, and no trees grew on that side of the river.",60+,male
dog,he,"Chose to sit down and rest. ""this has been a good life, I was a good boy"" he said. Then proceeds to drink water from the poisoned river
 ",20s,male
cat,,the cat peed in the river.,u20,female
dog,it,it jumped into the water and paddled across the stream.,u20,female
dog,she,"she enthusiastically hurled herself into the water, wagging her tail and swimming in erratic circles, and making small snorting huffs as the water lapped into her nose. Then, she bounded out and shook herself vigorously, spiraling streamers of droplets in the sunshine and perfuming the air with wet dog. ",30s,female
mouse,,the mouse looked at the water and decided to take a nap.,30s,female
mouse,he,"he dove in, transforming into a flashing silver fish, searching for the lost gem. When he found it, he swam to the surface and became a swift bird with the gem in his beak, and flew back to the party, dropping it with an audible 'thwack' on the wizard's head. She clutched her head and the gem, remonstrating with the bird's (now once again a mouse) rudeness. ",60+,female
cat,they,the cat found that they did not like the way the river sounded or moved. The cat was alarmed as they had not expected this.,30s,male
rabbit,,"a frog greeted the rabbit. ""Answer me this riddle,"" the frog began.",20s,male
cat,it,"it glanced around, ears twitching, to ensure it hadn’t been followed. Satisfied, it leaped into the cool water, and as the ripples settled, the fur on its hind legs melted away, revealing a glimmering silver fish tail, scales catching the light like scattered stars. Turns out, it wasn’t just any cat—it was one of the last mer-cats on Earth!",20s,female
cat,,"the cat met a ferryman. The ferryman said, ""I will help you cross the river, but first you must bring me three measures of rice."" ",,
bear,she,"She went to the top of a few rocks and stood still. As soon as the fish arrived, she caught them, one by one in midflight until she had enough. Then the bear walked to the shore where her cubs were already waiting for their meal.",40s,female
cat,,this hipster got soul food at a joint on the wharf.,60+,male
rabbit,,The crocodile is still there. Are you sure that you still want to go there?,30s,male
bear,she,"She sniffed the air, found a patch of sun under a tree, and snoozed, dreaming of fish",50s,female
rabbit,he,He saw the fishermen with their magnets and boarders on their SUPs. Then the dog came to play and the rabbit ran away.,40s,male
bear,she,"she breathed a great bear sigh, and sat down upon a stump, and looked into the water at her reflection.",,
rabbit,she,"the rabbit dipped her paw into the rapids. ""Still too early in the season"" she said. ""In a month, these waters will be ready to cross.""",40s,male
mouse,it,"it jumped into a small boat made from a walnut shell. The mast was a stick and the sail was made of a tiny, torn piece of linen left over by the giants who once called this place their “camp site.” Whatever that means.",30s,female
rabbit,she,"the rabbit peered across the rushing water. She knew she needed to get to the other side, but she did not know where to begin. The water was deep and fast, and she had never tried to swim before.",20s,female
bird,it,"it swooped in and lightly landed on a cattail, calmly observing the lush vegetation, busily scampering squirrels, slowly sliding slugs, sprightly flowing water, and flitting and chattering fellow birds.  ",60+,female
pig,,"The pig had a big drink of water, then turned around and lay in the mud",,
cat,,The cat saw that the river was no more.,,
dog,,"The dog scampered into the water, and swam out to chase the ducks.",60+,female
mouse,he,"he took a lovely swim and enjoyed a warm sunny afternoon beside the quiet sound of water flowing, pausing now and then to eat from his sack.",40s,na
pig,,the pig went for a swim.,30s,female
bear,she,the bear cleaned her bloody snout in the clear flowing water. She drank deeply until her thirst was sated.,,
pig,it,"the pig splashed into the water. It waddled its feet playfully, enjoying the cool stream on the hot summer day.",,
pig,she,"she gazed upon the slow current, waiting for the spectacle to begin.",30s,female
mouse,,the mouse jumped into the river and started swimming.,40s,male
cat,he,The cat appeared to distance himself from the river out of an intrinsic fear of water.,20s,female
bear,she,", the hungry bear stood in the water where the fish were jumping and ate her fill of salmon.",60+,female
bird,he,he joined his flock.,,
rabbit,,the rabbit promptly jumped in for a swim.,,
pig,it,"the pig stopped at the water's edge, took in its reflection, and then waded into the refreshing water for a swim. ",30s,female
rabbit,it,The rabbit hopped to the stones at the river’s edge to get a closer look. The rabbit leaned in closely to see its reflection and splash! Frog pushed rabbit in.,30s,female
dog,,The owner of the dog told the dog that he would go to the river,,male
bear,she,"she saw the silky salmon swimming up the river. She killed and ate, leaving none for friend or foe. ",,
pig,he,his wife charged after him swinging his nutcracker and bib in the air.,50s,female
pig,,the pig hopped in and swam across.,20s,male
rabbit,he,"he thought to himself ""why did I come to the river?"". he felt like there was something greater at play here...why couldn't he remember anything before his desire to come to the river?",,
mouse,he,"he took a drink. 
",30s,male
rabbit,he,the rabbit washed his cute little nose with his cute little paws in the river.,40s,male
bird,it,"Upon arriving, the bird came across a threatening crocodile, on the lookout for unsuspecting prey. The bird then turned around and walked away, calculating how far it should move to reach a more distant shore without the crocodile noticing.",40s,male
rabbit,he,"he rinsed his paws in the gentle stream. He headed towards the dock, took an oarboat and paddled across into the underbrush on the opposite bank. He hopped off and headed towards the clearing, basket in hand, where Frog was waiting.",20s,male
rabbit,,"the rabbit spotted a long, speckled fish and attempted to speak to it. The fish, however, could not hear the rabbit, and so the fish swam in the filtered sunlight and the rabbit watched the fish swim, slowly trailing off to sleep.",20s,female
cat,,the cat went down to the river to drink,u20,non-binary
bear,she,"the bear found the river had already burst its banks, floodwaters churning a muddy brown across the plains. Where once she could cross, now a swollen behemoth roared and roiled. It was too late. ",,
mouse,he,The mouse took a ferry down the river to visit his cousin,40s,female
bird,she,"She saw the comotion she'd heard was simply a group of humans enjoying a splash in the river. They were wearing lots of bright colours and appeared to be floating on the water with some sort of round nest-like objects. The bird felt she would also like to play in the water this way, like her friend Duck.",40s,female
cat,he,"he sat on the riverbank, staring off at the sunset. ""What a lovely view,"" he started. ""And how much lovelier it is that I can share it with you.""",u20,female
rabbit,he,"he decided to cross, but then he saw a Peregrine falcon. ""Oh no, I better run!"" Unfortunately, Peregrine falcons are much faster than rabbits, and the rabbit met its bitter end (or, delicious end, for the falcon.)",u20,female
pig,he,the pig looked at all of the animals playing in the water. He joined them and washed off all the mud and dirt that covered his body.,,
rabbit,he,He had a drink of water and ate some clover. He met up with his friends that live by the river,u20,female
dog,,The dog reached the river and crossed a small stone path across it. The other side of the river lead to the forest.,u20,na
cat,he,"the cat gazed upon its own reflection but couldn't see it. Puzzled, he looked over at a nearby tree and realized that it has changed in the brief moment of observation. In fact, the whole creek is shifting, the scene has morphed into another picture. It is this moment that the cat realized that it has been dreaming. ",20s,female
mouse,he,the mouse looked for his fish friend.,20s,female
bear,she,"she found the river was warm and inviting, perfect for a swim and a snooze.",30s,female
cat,,"The cat dipped a paw into the frigid water. Quickly retracting the shivering limb, the cat returned to the cabin and curled up in front of the fire.",40s,male
mouse,it,"the top of its head blew off and the tiny alien crawled out and into the water. 'Freedom at last,' it sighed. 'The mothership should arrive any minute.'",30s,male
pig,,the pig saw the river had long dried up.,,
pig,,the pig waded in and took a bath.,30s,female
bear,she,"the bear sat on the riverbank and began watching for salmon. When she saw a place in the river where many salmon were leaping upstream, she carefully waded out to that spot. Then she spent a happy day catching and eating delicious salmon, before returning to her den for a cozy, contented hibernation.",50s,female
rabbit,it,it jumped into the river.,,
cat,he,he quitely lay down in the barge that Dickens had moored earlier that day.,20s,female
cat,it,"the cat looked at the water and changed its mind, returning to the farm.",40s,female
bird,he,he found all its birdfriends were already there and had prepared a wonderful little birthday party for the bird.,,
cat,,the cat sat near the river and waited for a fish to catch.,,
bird,,hhhhhh,,
bird,,The bird sang,20s,male
cat,he,"he stepped out of the coach, turned and tipped his driver, then waited for him to pass over the hill before walking toward the bank.",,
rabbit,he,he made some tea for himself. The rabbit was tired and sat by the river bank sipping his tea and enjoying the sun. It had been a heavy week.,30s,female
dog,he,he discovered that there was no bridge there.,20s,female
rabbit,it,"the rabbit sat in the corner admiring and questioning another rabbit, looking through the river, and its likeness to itself.",,
pig,,the pig purchased a ticket for the ferry and then took the ferry across the river.,20s,non-binary
dog,she,she jumped into the water.,50s,female
bird,it,I assume it flew away - it doesn't know where it's home is,,
cat,,To take a bath?,30s,male
mouse,he,"the mouse was surrounded by enemies that were prepared to kill him. Luckily, he knew how to swim and decided to jump into the cold waters of the river.",30s,male
rabbit,they,"Upon arriving, the rabbit stared at the river as the water strolled by, hitting against the rocks and meandering down. It was there that the rabbit had agreed to have a picnic with their friends, and they did no want to be late.",20s,female
bear,she,"she stood by the river bank and closed her eyes, inhaling deeply while the river roared before her.",30s,female
cat,,"The cat climbed a tree, got scared and fell in the mud.",30s,female
mouse,it,it lay down with a nice book and watched the clouds pass by.,20s,female
cat,it,"the river was so dried up that there was no water to drink from.  Thirsty, sad and desperate, the cat slunk back up the bank, tail tucked beneath its belly.",20s,female
bird,it,"the bird went down to take a drink, but before drinking, the bird spotted a worm crawling through the mud of the river bank. The bird picked up and ate the worm, before flying back off to its nest.",,
rabbit,,the rabbit found that the river had run dry.,30s,male
bear,she,"she frolicked in the water, then spent the afternoon dozing on the riverbank to dry off. ",20s,female
rabbit,he,"the rabbit looked at the fast-flowing water and reconsidered his compulsion. Maybe today wasn't a river kind of day after all, and he turned back in search of a more manageable pond, or even a puddle. ",30s,female
mouse,it,"the mouse quickly scurried to the water's edge, took a sip of the cool water, and then sat back on its hind legs to enjoy the peaceful sound of the flowing river.",30s,female
bear,she,"she looked around, scratched her back on the tree bark, noticed a beehive above on the branch and started working its way to the honey.. that was tough and unsuccessful. she decided to take a refreshing swim instead
",60+,female
bird,she,she realized it was an utter mistake and vowed never to speak of the journey again.,,
bird,he,"He asks : ""I don't know how to sing?"" Then, he goes to see the wise man of the nest.  ",20s,female
mouse,she,"she unpacked her bag, and put up her tent. When she'd fixed her camp, she lit a fire and waited. Soon, the first boatload of visitors arrived. ",60+,female
bird,it,"the bird spotted the rest of its flock, and landed near them in the water. It took a drink, and then paddled closer to join them.",50s,female
bird,it,"the bird caught a worm by the margin, ate half of it, and took the rest of it back to its nest.",30s,male
rabbit,,"the rabbit saw the cold, but calm river, flowing mellow through the creeks. The  rabbit went into the river, and took a refreshing bath, washing away the embarrassment of late.",20s,male
bird,,to catch some small fishes,,
pig,he,he jumped right in!,,
mouse,he,"the mouse found the river had dried out, and had been dried out for a long time. The mouse realised that it was more than half of his life since he had returned home, and the mental toll of not returning not had some physical evidence as well.",30s,male
cat,it,"it drank a mouthful of the fresh river water and sat there, waiting for the sunset.",20s,female
mouse,it,"The mouse grabbed a large leaf of water lily trained at the edge of the river, sat on it, tail in the water to direct the boat and it began to move with its front legs. ",20s,female
cat,,the cat went fishing.,40s,female
rabbit,it,the rabbit hopped in its canoe and began paddling down the river.,,
bear,she,"She noticed the current was too strong for her cubs to fish by themselves later, so she fished enough for herself and her babies.",20s,female
cat,he,He caught a fish while basking in the sun.,30s,male
cat,she,"the cat opened up Uber and initiated a ride. She new it was peak hours, but paying a few cents more was worth it when the future of the entire planet was on the line.",50s,female
cat,he,"the cat knew that despite it being cold and windy outside, this was only way to find his favorite toy that had been washed away in the flood. He pushed on, looking for that glint of blue that would lead him to his favorite crinkle ball.",40s,female
cat,it,"the cat lapped some water from the river's edge. It was cool and refreshing after the long journey. The cat dunked its body and stretched out in the sun, enjoying a moment of serenity.",40s,male
rabbit,he,"He dipped his paws into the glistening water, feeling the river’s gentle pull, as if it were inviting him deeper. From a distance, ripples spread across the surface, growing closer until a golden fish emerged. It lifted its shimmering gaze to the rabbit and whispered, “Come, let me show you the way.”",,
bird,it,the bird saw that the river had rerouted. The bird followed the new path of the river through lush greenery and found more animals than it had ever seen before enjoying the river.,,
mouse,it,"is jumped into the water, after gazing upon its reflection.",,
bird,he,he noticed a fox staring at him.,30s,female
cat,,the cat stopped and looked up at the stars.,,
pig,he,"he put on his pants, took off his shoes, and trotted on in.",20s,female
bird,she,"she drank water and took a bath, then sunbathed on a rock until her glorious feathers were dry and fluffy. ",,
dog,he,"he lept in, stick in his mouth, and swam to the other side.",50s,male
dog,he,he stooped down and drank to quench his thirst.,20s,female
mouse,he,"He got in his tiny, mouse-sized canoe, and paddled down the rapids, making sure to pause for a drink from the fresh spring water.",20s,female
rabbit,,the rabbit saw an empty canoe and a goat,,
bird,she,"she paused in a tree above and watched the Alewives jumping up the rapids. After a few minutes of study, she dove in and caught one tight in her deadly talons.",30s,male
bear,they,the bear bent down with their mouth open so they could drink the water out of the river.,20s,male
dog,she,"the dog searched the banks for the lost puppy. She sniffed and snuffled under every bush, log, stone and tree branch. There was no puppy scent to be found",40s,female
pig,he,"he found his best friend, Mortimer, waiting for him. ""Morty,"" the pig said, ""I realize you were right all along. I'm sorry."" ""That's quite alright pig,"" Morty replied, ""let's go home now.""",30s,female
bear,they,"the bear scouted for the best place to cross the river. Halfway through, the bear stood on a flat rock and admired the scenery. The bear then continued to cross the river to the opposite bank and continued on their way to their cave.",30s,female
mouse,,the mouse hired a boat to sail down the river.,20s,female
pig,she,"at her cousin's hamlet, the pig had been hearing nonstop chatter around the  town that the river offered remedies for almost every possible ailment. ",30s,female
rabbit,it,the rabbit paused to sniff the air. It felt the warm breeze blowing through its fur and wiggled its nose.,,
pig,he,"He promptly realized that he could not swim, and decided to stand near the riverbank, looking jealously at the passing fish.",40s,male
bird,it,The bird dove down toward the water and snatched up a fish in its talons.,,
rabbit,he,"he gathered what remained of his belongings. Taking one final lingering, meandering glace to let the sights and sounds of the only place he had known as home wash over him. This had been his constant.",30s,female
bird,it,it headed to the water to drink.,30s,female
mouse,he,the mouse climbed into his canoe and began paddling toward his destination.,30s,male
bear,they,"Upon arriving, the bear stopped and look over the river noticing how cool the weather has gotten as the sun set. They sat on the river bank and stared into the river, hoping dinner would swim up to them soon. ",20s,female
pig,he,he jumped in the water to clean himself off.,20s,male
cat,he,"he took off his clothes and jumped in. He hated it, so he got right out again.",20s,female
mouse,,the mouse swam over to a series of rocks jutting above the water line. The mouse expertly hopped across the rocks and made it safely to the other side and on to the riverbank.,40s,male
mouse,,"the mouse looked up and down the flowing water, and decided to run along the river downstream, until reaching a point of calmer water.",30s,male
bear,they,"the bear fished in the river until it caught a trout. They laid the trout on the bank of the river and said, ""Here, this is for you.""",,
mouse,he,he saw how fast the river was moving and changed his mind.,40s,male
pig,it,it jumped into the water and swam like one of those cute pigs in the Caribbean.,,
dog,it,"it lapped at the water with its tongue, before leaping headfirst into the river. Fully immersed, the dog paddled back to the surface, before doggy paddling its way across.",20s,male
pig,,Ate,,
mouse,he,"he lay on the banks and took a deep breath, letting the dappled sunlight warm his small body. ",20s,female
bird,it,the bird realized it had been mistaken in its previous statement. For there was no river at all. What had once been a powerful gush of water was now a few puddles.,30s,female
bird,,"The bird flew in
The bird landed
The bird looked around",30s,male
mouse,he,"the mouse looked at the roaring current and questioned his decision. However, running a predator was quick on his tail and he had to make a quick decision. He jumped in swimming towards the opposite edge of the river.",40s,female
mouse,it,it went up to the bank and drank from the river.,30s,female
dog,he,"the dog sat down on the bank and pondered. Since he was a dog, he pondered all the dog-like things such as how far his bark could carry, if the birds knew he was there, and why the river continued to flow. As he was pondering, he saw a stick, which broke his concentration, bringing him back to the present.",40s,female
pig,it,"the river spoke, saying ""I've been expecting you."" The pig walked into the river one hoof at a time, as the water began to hum around its body. The hums became pulsations that carried the pig along at a steady clip, in the direction of the sunset. ",30s,non-binary
bear,they,"they stood very still, with a thicket between them and the water, and a stand of large trees behind them. Their eyes carefully scanned the water. Then suddenly, they lunged into the water with all the explosive force they could muster.",40s,male
bear,they,they had a drink and then started hunting for salmon.,30s,female
